0,בראשית,Breshit,Breshit
1,נח,Noah,Breshit
2,לך לך,Lekhlkha,Breshit
3,וירא,Vayera,Breshit
4,חיי שרה,HayeSara,Breshit
5,תולדות,Toldot,Breshit
6,ויצא,Vayetse,Breshit
7,וישלח,Vayishlah,Breshit
8,וישב,Vayeshev,Breshit
9,מקץ,Mikets,Breshit
10,ויגש,Vayigash,Breshit
11,ויחי,Vayhi,Breshit
12,שמות,Shmot,Shmot
13,וארא,Vaera,Shmot
14,בא,Bo,Shmot
15,בשלח,Bshalah,Shmot
16,יתרו,Yitro,Shmot
17,משפטים,Mishpatim,Shmot
18,תרומה,Truma,Shmot
19,תצוה,Ttsave,Shmot
20,כי תשא,Kitisa,Shmot
21,ויקהל,Vayakhel,Shmot
22,פקודי,Pkude,Shmot
23,ויקרא,Vayikra,Vayikra
24,צו,Tsav,Vayikra
25,שמיני,Shmini,Vayikra
26,תזריע,Tazria,Vayikra
27,מצרע,Mtsora,Vayikra
28,אחרי מות,Aharemot,Vayikra
29,קדושים,Kdoshim,Vayikra
30,אמור,Emor,Vayikra
31,בהר,Bhar,Vayikra
32,בחקתי,Bhukotay,Vayikra
33,במדבר,Bamidbar,Bamidbar
34,נשא,Naso,Bamidbar
35,בהעלתך,Bhaalotkha,Bamidbar
36,שלח לך,Shlahlkha,Bamidbar
37,קרח,Korah,Bamidbar
38,חוקת,Hukat,Bamidbar
39,בלק,Balak,Bamidbar
40,פינחס,Pinhas,Bamidbar
41,מטות,Matot,Bamidbar
42,מסעי,Mase,Bamidbar
43,דברים,Dvarim,Dvarim
44,ואתחנן,Vaethanan,Dvarim
45,עקב,Ekev,Dvarim
46,ראה,Ree,Dvarim
47,שופטים,Shoftim,Dvarim
48,כי תצא,Kitetse,Dvarim
49,כי תבוא,Kitavo,Dvarim
50,ניצבים,Nitsavim,Dvarim
51,וילך,Vayelekh,Dvarim
52,האזינו,Haazinu,Dvarim
53,ויקהל&פקודי,Vayakhel&Pkude,Shmot
54,תזריע&מצרע,Tazria&Mtsora,Vayikra
55,אחרי מות&קדושים,Aharemot&Kdoshim,Vayikra
56,בהר&בחקתי,Bhar&Bhukotay,Vayikra
57,חוקת&בלק,Hukat&Balak,Bamidbar
58,מטות&מסעי,Matot&Mase,Bamidbar
59,ניצבים&וילך,Nitsavim&Vayelekh,Dvarim
60,וזאת הברכה,Vzothabraha,Dvarim
