Balak,1,3,4,6,7,7,7
Bamidbar,1,4,7,7,7,7,7
Bhaalotkha,1,3,6,6,7,7,7
Hukat,1,4,6,6,6,7,7
Korah,1,3,4,6,6,7,7
Mase,1,3,6,7,7,7,7
Matot,1,4,6,6,7,7,7
Naso,1,4,6,6,7,7,7
Pinhas,1,3,7,7,7,7,7
Shlahlkha,1,4,6,7,7,7,7
Breshit,1,6,6,7,7,7,7
HayeSara,1,4,6,6,7,7,7
Lekhlkha,1,3,5,6,7,7,7
Mikets,1,3,6,7,7,7,7
Noah,1,3,6,7,7,7,7
Toldot,1,5,6,6,6,7,7
Vayera,1,3,6,7,7,7,7
Vayeshev,1,3,5,6,7,7,7
Vayetse,1,3,6,7,7,7,7
Vayhi,1,3,4,6,6,7,7
Vayigash,1,3,5,6,6,7,7
Vayishlah,1,3,6,6,6,7,7
Dvarim,1,3,5,6,6,7,7
Ekev,1,5,6,7,7,7,7
Haazinu,1,2,3,4,6,6,6
Kitavo,1,3,4,4,6,6,7
Kitetse,1,3,5,6,7,7,7
Nitsavim,1,1,2,4,6,6,6
Ree,1,4,6,7,7,7,7
Shoftim,1,4,5,6,6,7,7
Vaethanan,1,3,6,7,7,7,7
Vayelekh,1,1,2,2,3,4,5
Vzothabraha,1,2,3,4,5,6,6
Bo,1,3,5,6,7,7,7
Bshalah,1,3,4,6,7,7,7
Kitisa,1,6,7,7,7,7,7
Mishpatim,1,4,6,7,7,7,7
Pkude,1,3,6,6,7,7,7
Shmot,1,4,6,6,7,7,7
Truma,1,4,6,7,7,7,7
Ttsave,1,3,6,6,7,7,7
Vaera,1,3,6,6,7,7,7
Vayakhel,1,4,6,6,7,7,7
Yitro,1,3,5,6,6,6,7
Aharemot,1,4,5,6,6,7,7
Bhar,1,3,4,5,6,6,6
Bhukotay,1,1,2,6,7,7,7
Emor,1,4,6,7,7,7,7
Kdoshim,1,3,5,6,6,6,7
Mtsora,1,3,4,6,7,7,7
Shmini,1,4,5,6,6,6,7
Tazria,1,3,5,6,6,6,7
Tsav,1,3,6,7,7,7,7
Vayikra,1,3,5,6,6,7,7
